Lista: GvG 24/02
Canal: 💣 | SEXO
Responsável: 👼 Meriove - (meriove)

1. 🍭 Ame | Jouffa (maguivt) - Microfone mutado, Audio desmutado
63. 🍭 RAULBIGODE | Zels (zels_) - Microfone mutado, Audio desmutado
64. 🍭 Rabbit | RabbitDOSA (rrabbit_) - Microfone mutado, Audio desmutado
65. 🍭 RadiX | RadiX (.radixx.) - Microfone mutado, Audio desmutado
66. 🍭 Rodi | Aryinn (smkz01) - Microfone mutado, Audio desmutado
67. 🍭 Sagrath | Sagrath (_sagrath) - Microfone mutado, Audio desmutado
68. 🍭 SantanaGLS90 | LaraHz (bagatoli.) - Microfone mutado, Audio desmutado
69. 🍭 Santox | AnjoYdaYvida (anjoydayvida) - Microfone mutado, Audio desmutado
70. 🍭 SaveiroSUMMER96 | MuichiroTo… (inlove_html) - Microfone mutado, Audio desmutado
71. 🍭 Scribblenauts | YUwUY (scribblenauts) - Microfone mutado, Audio desmutado
72. 🍭 Shai | Artini (kapi.tan) - Microfone mutado, Audio desmutado
73. 🍭 Shaoster | Kaween (shaoster) - Microfone mutado, Audio desmutado
74. 🍭 SkePz | Yskepz (skepzoficial) - Microfone desmutado, Audio desmutado
75. 🍭 Skito | Etheriya (srmuskito) - Microfone mutado, Audio desmutado
76. 🍭 Soaria | Soaria (sams_z) - Microfone mutado, Audio mutado
77. 🍭 Stazz | Stazz (.guilhermebuzatto) - Microfone mutado, Audio desmutado
78. 🍭 Tarshizu | Tarcisio (tarcisio2758) - Microfone mutado, Audio desmutado
79. 🍭 ThePhysicist | ShootDown (galzuu) - Microfone mutado, Audio desmutado
80. 🍭 Tulatias | RebertaDragonic (tulatias) - Microfone mutado, Audio desmutado
81. 🍭 Uveda | Yunnar (uveda) - Microfone mutado, Audio desmutado
82. 🍭 Valkrieg | FenixGda (fenixgda) - Microfone mutado, Audio desmutado
83. 🍭 VectraGLS97 | Taeks (taeks) - Microfone mutado, Audio desmutado
84. 🍭 VirSaOo | FireAshe (vilson5285) - Microfone mutado, Audio desmutado
85. 🍭 VoyageSPORT94 | McLahnNovame… (guirabisca) - Microfone mutado, Audio desmutado
86. 🍭 WITCH | IW_WI (ruivo3222) - Microfone mutado, Audio desmutado
87. 🍭 Yamikaze | Sixwvys (_martiniyuri) - Microfone mutado, Audio desmutado
88. 👑 Astolfo (astolfo7841) - Microfone desmutado, Audio desmutado
89. 👼 Meriove (meriove) - Microfone mutado, Audio desmutado
